No,name,addr,x,y,state,number,amount,zero
1,국채보상운동기념공원주차장,대구광역시 중구 공평로10길 25,128.6017131,35.86844002,정좌표,197,3343 ,3343
2,대구시청,대구광역시 중구 공평로 88,128.6018555,35.87142631,정좌표,257,4400 ,4400
3,서문주차빌딩,대구광역시 중구 큰장로26길 45,128.5807711,35.86890633,정좌표,353,3815 ,3815
4,중구청,대구광역시 중구 국채보상로139길 1,128.6061586,35.8693267,정좌표,0,0 ,1454
5,대신동 행정복지센터,대구광역시 중구 달구벌대로389길 50,128.5763395,35.8655529,정좌표,0,0 ,1454
6,남산3동 행정복지센터,대구광역시 중구 남산로4길 70,128.5855595,35.85991179,정좌표,0,0 ,1454
7,남산2동 행정복지센터,대구광역시 중구 명륜로 27-1,128.5895594,35.86408255,정좌표,0,0 ,1454
8,대봉2동 행정복지센터,대구광역시 중구 대봉로47길 31,128.5993683,35.85876412,정좌표,0,0 ,1454
9,동인동행정복지센터,대구광역시 중구 국채보상로142길 19-5,128.6091281,35.86790523,정좌표,48,1531 ,1531
10,남산4동행정복지센터,대구광역시 중구 남산로1길 42,128.5805722,35.8582235,정좌표,17,235 ,235
11,삼덕동행정복지센터,대구광역시 중구 달구벌대로447길 72-11,128.6089427,35.86552799,정좌표,0,0 ,1454
12,대구시청(지하),대구광역시 중구 공평로 88 (지하 주차장),128.6018555,35.87142631,정좌표,0,0 ,1454
13,갓바위공영3주차장,대구광역시 동구 진인동 123-30,128.7252083,35.97014201,정좌표,43,539 ,539
14,갓바위공영5주차장,대구광역시 동구 진인동 123-12,128.7260827,35.97058955,정좌표,49,1119 ,1119
15,동구청,대구광역시 동구 아양로 207,128.6360766,35.88681372,정좌표,215,4481 ,4481
16,동대구복합환승센터,대구광역시 동구 동부로 153,128.629195,35.87703362,인근좌표,194,3458 ,3458
17,율하체육공원3주차장,대구광역시 동구 금호강변로 278,128.6928376,35.85992562,정좌표,173,3813 ,3813
18,첨단의료산업진흥재단,대구광역시 동구 동내로 88 커뮤니케이션센터 야외 주차장,128.7361271,35.87864028,정좌표,137,3314 ,3314
19,환경공단안심관리소,대구광역시 동구 금호강변로 91,128.6814003,35.86863045,정좌표,187,2725 ,2725
20,DTC섬유박물관,대구광역시 동구 팔공로 227,128.6402955,35.9191,정좌표,137,2982 ,2982
21,반야월공영주차장,대구광역시 동구 신기동 174,128.7021116,35.87261017,정좌표,38,869 ,869
22,파계사 공영주차장,대구광역시 동구 파계로 686,128.6371583,35.99090071,정좌표,89,1693 ,1693
23,도평동 행정복지센터,대구광역시 동구 팔공로24길 171,128.6501302,35.90997716,정좌표,0,0 ,1454
24,안심3.4동 행정복지센터,대구광역시 동구 안심로49길 98,128.7112177,35.87027633,정좌표,0,0 ,1454
25,안심1동 행정복지센터,대구광역시 동구 율하동로 25길 5,128.7016306,35.87043122,정좌표,0,0 ,1454
26,해안동 행정복지센터,대구광역시 동구 방촌로29길 46,128.6716753,35.88208456,정좌표,111,2335 ,2335
27,동촌동 행정복지센터,대구광역시 동구 동촌로11길 5,128.6496353,35.88993705,정좌표,0,0 ,1454
28,방촌동 행정복지센터,대구광역시 동구 동촌로48길 26,128.6652561,35.88003395,정좌표,0,0 ,1454
29,효목1동 행정복지센터,대구광역시 동구 화랑로41길 46,128.6449371,35.88162786,정좌표,0,0 ,1454
30,동촌유원지 입구 주차장,대구광역시 동구 효목동 1025,128.6498559,35.87900153,정좌표,96,2270 ,2270
31,신암2동 행정복지센터,대구광역시 동구 신성로 56,128.6127016,35.87997896,정좌표,0,0 ,1454
32,대구은행(신암동지점),대구광역시 동구 아양로 2,128.6146226,35.8809946,정좌표,0,0 ,1454
33,아주운수,대구광역시 동구 공항로 255,128.6410127,35.89610929,정좌표,26,213 ,213
34,대구지식서비스센터,대구광역시 동구 동대구로 481,128.6248046,35.87325113,정좌표,109,2653 ,2653
35,상공회의소,대구광역시 동구 동대구로 457,128.6249677,35.8710745,정좌표,244,4710 ,4710
36,신암공원,대구광역시 동구 신암북로11길 6,128.622617,35.88768408,정좌표,131,2801 ,2801
37,아양아트센터,대구광역시 동구 효동로2길 24,128.6519363,35.87956399,정좌표,251,5617 ,5617
38,불로봉무동행정복지센터,대구광역시 동구 팔공로25길 16,128.6392894,35.91038821,정좌표,5,109 ,109
39,지저동행정복지센터,대구광역시 동구 해동로3길 80,128.6382828,35.8933933,정좌표,0,0 ,1454
40,효목2동행정복지센터,대구광역시 동구 화랑로25길 45,128.6412399,35.87815834,정좌표,0,0 ,1454
41,공산동행정복지센터,대구광역시 동구 팔공로91길 9,128.6441612,35.93998708,정좌표,0,0 ,1454
42,신암1동행정복지센터,대구광역시 동구 아양로7길 27,128.6163403,35.88428962,정좌표,0,0 ,1454
43,대구의료원,대구광역시 서구 평리로 157,128.5400736,35.85969545,정좌표,115,6341 ,6341
44,서구국민체육센터,대구광역시 서구 문화로 72,128.5409867,35.87341174,정좌표,129,1555 ,1555
45,서구청,대구광역시 서구 국채보상로 257,128.5592895,35.87232195,정좌표,212,3566 ,3566
46,충전인프라 관제센터,대구광역시 서구 상리동 649-5,128.5316981,35.88497189,정좌표,147,3231 ,3231
47,대구환경공단(달서천),대구광역시 서구 염색공단로 130,128.5427216,35.88407908,인근좌표,85,1635 ,1635
48,상중이동 행정복지센터,대구광역시 서구 중리동 1085-3,128.5461515,35.86698037,정좌표,166,4099 ,4099
49,서대구산업단지 근로자복지회관,대구광역시 서구 국채보상로 124,128.5447467,35.86851172,정좌표,39,1303 ,1303
50,비산1동행정복지센터,대구광역시 서구 북비산로65길 18(비산동),128.5689707,35.88117185,정좌표,21,540 ,540
51,평리3동행정복지센터,대구광역시 서구 문화로 261(평리동),128.5613,35.87595554,정좌표,23,646 ,646
52,평리1동행정복지센터,대구광역시 서구 문화로 280(평리동),128.5632615,35.8755956,정좌표,5,53 ,53
53,비산4동행정복지센터,대구광역시 서구 국채보상로78길 29-4(비산동),128.5743028,35.86974988,정좌표,3,53 ,53
54,"내당2,3동행정복지센터",대구광역시 서구 큰장로15길 11-1(내당동),128.5745339,35.86727753,정좌표,30,1102 ,1102
55,내당4동행정복지센터,대구광역시 서구 서대구로3길 46,128.5518431,35.85902049,정좌표,0,0 ,1454
56,상리공원주차장,대구광역시 서구 중리동 1177,128.5339748,35.86309633,정좌표,0,0 ,1454
57,비산7동행정복지센터,대구광역시 서구 서구 염색공단로5길 4,128.5535552,35.88795925,정좌표,0,0 ,1454
58,충혼탑 주차장,대구광역시 남구 앞산순환로 540,128.5837349,35.8322445,정좌표,336,5589 ,5589
59,대명3동 행정복지센터,대구광역시 남구 명덕로20길 115,128.5790577,35.85230256,정좌표,0,0 ,1454
60,대명2동 행정복지센터,대구광역시 남구 명덕로32길 30,128.5863225,35.85515365,정좌표,0,0 ,1454
61,남구청,대구광역시 남구 이천로 51,128.5978346,35.84552398,정좌표,0,0 ,1454
62,봉덕3동 행정복지센터,대구광역시 남구 중앙대로22길 100,128.5959412,35.84241851,정좌표,0,0 ,1454
63,대명5동 행정복지센터,대구광역시 남구 대명로58길 11,128.5878028,35.84323175,정좌표,125,3200 ,3200
64,대명4동 행정복지센터,대구광역시 남구 두류공원로20길 19,128.5695084,35.84597103,정좌표,0,0 ,1454
65,대명11동 행정복지센터,대구광역시 남구 관문시장4길 53,128.5606365,35.83624168,정좌표,0,0 ,1454
66,이천동행정복지센터,대구광역시 남구 이천로28길 18(이천동),128.5994185,35.85368218,정좌표,15,349 ,349
67,봉덕2동행정복지센터,대구광역시 남구 이천로10길 50(봉덕동),128.6011109,35.84382728,정좌표,27,631 ,631
