No,x,y,number,amount
1,128.6017131,35.86844002,197,3343
2,128.6018555,35.87142631,257,4400
3,128.5807711,35.86890633,353,3815
4,128.6061586,35.8693267,0,0
5,128.5763395,35.8655529,0,0
6,128.5855595,35.85991179,0,0
7,128.5895594,35.86408255,0,0
8,128.5993683,35.85876412,0,0
9,128.6091281,35.86790523,48,1531
10,128.5805722,35.8582235,17,235
11,128.6089427,35.86552799,0,0
12,128.6018555,35.87142631,0,0
13,128.7252083,35.97014201,43,539
14,128.7260827,35.97058955,49,1119
15,128.6360766,35.88681372,215,4481
16,128.629195,35.87703362,194,3458
17,128.6928376,35.85992562,173,3813
18,128.7361271,35.87864028,137,3314
19,128.6814003,35.86863045,187,2725
20,128.6402955,35.9191,137,2982
21,128.7021116,35.87261017,38,869
22,128.6371583,35.99090071,89,1693
23,128.6501302,35.90997716,0,0
24,128.7112177,35.87027633,0,0
25,128.7016306,35.87043122,0,0
26,128.6716753,35.88208456,111,2335
27,128.6496353,35.88993705,0,0
28,128.6652561,35.88003395,0,0
29,128.6449371,35.88162786,0,0
30,128.6498559,35.87900153,96,2270
31,128.6127016,35.87997896,0,0
32,128.6146226,35.8809946,0,0
33,128.6410127,35.89610929,26,213
34,128.6248046,35.87325113,109,2653
35,128.6249677,35.8710745,244,4710
36,128.622617,35.88768408,131,2801
37,128.6519363,35.87956399,251,5617
38,128.6392894,35.91038821,5,109
39,128.6382828,35.8933933,0,0
40,128.6412399,35.87815834,0,0
41,128.6441612,35.93998708,0,0
42,128.6163403,35.88428962,0,0
43,128.5400736,35.85969545,115,6341
44,128.5409867,35.87341174,129,1555
45,128.5592895,35.87232195,212,3566
46,128.5316981,35.88497189,147,3231
47,128.5427216,35.88407908,85,1635
48,128.5461515,35.86698037,166,4099
49,128.5447467,35.86851172,39,1303
50,128.5689707,35.88117185,21,540
51,128.5613,35.87595554,23,646
52,128.5632615,35.8755956,5,53
53,128.5743028,35.86974988,3,53
54,128.5745339,35.86727753,30,1102
55,128.5518431,35.85902049,0,0
56,128.5339748,35.86309633,0,0
57,128.5535552,35.88795925,0,0
58,128.5837349,35.8322445,336,5589
59,128.5790577,35.85230256,0,0
60,128.5863225,35.85515365,0,0
61,128.5978346,35.84552398,0,0
62,128.5959412,35.84241851,0,0
63,128.5878028,35.84323175,125,3200
64,128.5695084,35.84597103,0,0
65,128.5606365,35.83624168,0,0
66,128.5994185,35.85368218,15,349
67,128.6011109,35.84382728,27,631
68,128.5790238,35.8372365,45,830
69,128.5425318,35.9021357,268,5685
70,128.5427922,35.91387816,110,3553
71,128.5833045,35.88545422,302,7426
72,128.5970876,35.89115552,395,9693
73,128.6119922,35.90549122,27,759
74,128.6117412,35.90617925,105,2043
75,128.5446932,35.94104958,79,2106
76,128.6175054,35.89318837,74,1880
77,128.5494828,35.9216739,314,7163
78,128.566041,35.93893254,217,5032
79,128.5393414,35.93450683,133,2943
80,128.5434037,35.92413288,0,0
81,128.5979483,35.92799875,99,2742
82,128.5970445,35.9213512,0,0
83,128.5769348,35.90205856,71,1367
84,128.6030172,35.89290315,172,3521
85,128.5715294,35.89440759,0,0
86,128.5904541,35.88946123,0,0
87,128.5868909,35.88562917,0,0
88,128.5882181,35.88445306,53,1148
89,128.5835145,35.88185509,0,0
90,128.524326,35.91130567,10,297
91,128.5175555,35.8954766,199,5840
92,128.6070181,35.90720333,0,0
93,128.563765,35.93129033,0,0
94,128.6057727,35.88110679,0,0
95,128.5797145,35.90245507,0,0
96,128.5581816,35.93732745,57,1825
97,128.5473269,35.94425419,43,1191
98,128.6272161,35.9134626,11,401
99,128.6092565,35.90173502,15,474
100,128.6254885,35.89536208,36,1153
101,128.5487627,35.92149203,0,0
102,128.5971032,35.90051355,0,0
103,128.6000193,35.87922469,0,0
104,128.624544,35.82838917,67,2137
105,128.6300208,35.85835349,223,3.715
106,128.6213958,35.85993244,53,1717
107,128.6501243,35.85594966,74,2372
108,128.7060374,35.84135706,46,1594
109,128.6270136,35.84767227,65,1330
110,128.6743403,35.82702862,22,221
111,128.639751,35.86663137,229,3979
112,128.6221493,35.81146986,253,6018
113,128.6205773,35.82937438,201,4190
