No,x,y,number,amount,x_num,y_num
1,128.6017131,35.86844002,197,3343,128.6017131,35.86844002
2,128.6018555,35.87142631,257,4400,128.6018555,35.87142631
3,128.5807711,35.86890633,353,3815,128.5807711,35.86890633
4,128.6061586,35.8693267,0,0,128.6061586,35.8693267
5,128.5763395,35.8655529,0,0,128.5763395,35.8655529
6,128.5855595,35.85991179,0,0,128.5855595,35.85991179
7,128.5895594,35.86408255,0,0,128.5895594,35.86408255
8,128.5993683,35.85876412,0,0,128.5993683,35.85876412
9,128.6091281,35.86790523,48,1531,128.6091281,35.86790523
10,128.5805722,35.8582235,17,235,128.5805722,35.8582235
11,128.6089427,35.86552799,0,0,128.6089427,35.86552799
12,128.6018555,35.87142631,0,0,128.6018555,35.87142631
13,128.7252083,35.97014201,43,539,128.7252083,35.97014201
14,128.7260827,35.97058955,49,1119,128.7260827,35.97058955
15,128.6360766,35.88681372,215,4481,128.6360766,35.88681372
16,128.629195,35.87703362,194,3458,128.629195,35.87703362
17,128.6928376,35.85992562,173,3813,128.6928376,35.85992562
18,128.7361271,35.87864028,137,3314,128.7361271,35.87864028
19,128.6814003,35.86863045,187,2725,128.6814003,35.86863045
20,128.6402955,35.9191,137,2982,128.6402955,35.9191
21,128.7021116,35.87261017,38,869,128.7021116,35.87261017
22,128.6371583,35.99090071,89,1693,128.6371583,35.99090071
23,128.6501302,35.90997716,0,0,128.6501302,35.90997716
24,128.7112177,35.87027633,0,0,128.7112177,35.87027633
25,128.7016306,35.87043122,0,0,128.7016306,35.87043122
26,128.6716753,35.88208456,111,2335,128.6716753,35.88208456
27,128.6496353,35.88993705,0,0,128.6496353,35.88993705
28,128.6652561,35.88003395,0,0,128.6652561,35.88003395
29,128.6449371,35.88162786,0,0,128.6449371,35.88162786
30,128.6498559,35.87900153,96,2270,128.6498559,35.87900153
31,128.6127016,35.87997896,0,0,128.6127016,35.87997896
32,128.6146226,35.8809946,0,0,128.6146226,35.8809946
33,128.6410127,35.89610929,26,213,128.6410127,35.89610929
34,128.6248046,35.87325113,109,2653,128.6248046,35.87325113
35,128.6249677,35.8710745,244,4710,128.6249677,35.8710745
36,128.622617,35.88768408,131,2801,128.622617,35.88768408
37,128.6519363,35.87956399,251,5617,128.6519363,35.87956399
38,128.6392894,35.91038821,5,109,128.6392894,35.91038821
39,128.6382828,35.8933933,0,0,128.6382828,35.8933933
40,128.6412399,35.87815834,0,0,128.6412399,35.87815834
41,128.6441612,35.93998708,0,0,128.6441612,35.93998708
42,128.6163403,35.88428962,0,0,128.6163403,35.88428962
43,128.5400736,35.85969545,115,6341,128.5400736,35.85969545
44,128.5409867,35.87341174,129,1555,128.5409867,35.87341174
45,128.5592895,35.87232195,212,3566,128.5592895,35.87232195
46,128.5316981,35.88497189,147,3231,128.5316981,35.88497189
47,128.5427216,35.88407908,85,1635,128.5427216,35.88407908
48,128.5461515,35.86698037,166,4099,128.5461515,35.86698037
49,128.5447467,35.86851172,39,1303,128.5447467,35.86851172
50,128.5689707,35.88117185,21,540,128.5689707,35.88117185
