"개방시설명",개방장소명,개방시설유형구분,휴관일,평일운영시작시각,평일운영종료시각,주말운영시작시각,주말운영종료시각,유료사용여부,사용기준시간,사용료,초과사용단위시간,초과사용료,수용가능인원수,면적,부대시설정보,신청방법구분,시설사진정보,소재지도로명주소,소재지지번주소,관리기관명,담당부서명,사용안내전화번호,홈페이지주소,위도,경도,데이터기준일자
"강동문화체육센터",강동문화체육센터 2층(강당),기타,월+화+수+목+금,00:00,00:00,13:00,22:00,Y,1,36000,,,200,1098.24,,유선,,대구광역시 동구 동촌역사로3길 33,대구광역시 동구 입석동 893-13,강동문화체육센터,문화체육과,053-983-7331,,35.889976,128.6502996,2022-04-28
"공산동 행정복지센터 회의실",공산동행정복지센터,회의실,토+일+공휴일,09:00,18:00,00:00,00:00,N,,,,,60,173,,방문,,대구광역시 동구 팔공로91길 9,,대구광역시 동구청,공산동,053-662-3320,http://www.dong.daegu.kr/ch/gs/,35.94023401,128.644206,2022-04-28
"도평동행정복지센터 회의실",도평동행정복지센터,회의실,토+일+공휴일,09:00,18:00,00:00,00:00,N,,,,,100,171,,방문,,대구광역시 동구 팔공로24길 171,,대구광역시 동구청,도평동,053-662-3802,http://www.dong.daegu.kr/ch/dp/,35.909977,128.650131,2022-04-28
"동구보건소",동구보건소 본관5층,강당,토+일+공휴일,09:00,22:00,00:00,00:00,Y,2,50000,,,300,,,유선,,대구광역시 동구 동촌로 79,,대구광역시 동구보건소,보건의약과,053-662-3205,http://www.dong.daegu.kr/health/,35.888123,128.651215,2022-04-28
"동촌동행정복지센터 회의실",동촌동행정복지센터,회의실,토+일+공휴일,09:00,18:00,00:00,00:00,N,,,,,100,143,,방문,,대구광역시 동구 동촌로11길 5,,대구광역시 동구청,동촌동,053-662-3314,http://www.dong.daegu.kr/ch/dc/,35.889934,128.649635,2022-04-28
"방촌동행정복지센터 회의실",방촌동행정복지센터,회의실,토+일+공휴일,09:00,18:00,00:00,00:00,N,,,,,50,120,,방문,,대구광역시 동구 동촌로48길 26,,대구광역시 동구청,방촌동,053-662-3884,http://www.dong.daegu.kr/ch/bc/,35.880033,128.665258,2022-04-28
"불로봉무동행정복지센터 회의실",불로봉무동행정복지센터,회의실,토+일+공휴일,09:00,18:00,00:00,00:00,N,,,,,50,113,,방문,,대구광역시 동구 팔공로25길 16,,대구광역시 동구청,불로봉무동,053-662-3823,http://www.dong.daegu.kr/ch/bb/,35.910378,128.639288,2022-04-28
"신암1동행정복지센터 회의실",신암1동행정복지센터,회의실,토+일+공휴일,09:00,18:00,00:00,00:00,N,,,,,50,233,,방문,,대구광역시 동구 아양로7길 27,,대구광역시 동구청,신암1동,053-662-3604,http://www.dong.daegu.kr/ch/sa1/,35.884297,128.616351,2022-04-28
"신암2동행정복지센터 회의실",신암2동행정복지센터,회의실,토+일+공휴일,09:00,18:00,00:00,00:00,N,,,,,100,198,,방문,,대구광역시 동구 신성로 56,,대구광역시 동구청,신암2동,053-662-3635,http://www.dong.daegu.kr/ch/sa2/,35.87997911,128.612707,2022-04-28
"신암3동행정복지센터 회의실",신암3동행정복지센터,회의실,토+일+공휴일,09:00,18:00,00:00,00:00,N,,,,,70,150,,방문,,대구광역시 동구 신암남로 67,,대구광역시 동구청,신암3동,053-662-3642,http://www.dong.daegu.kr/ch/sa3/,35.879584,128.623147,2022-04-28
"신암4동행정복지센터 회의실",신암4동행정복지센터,회의실,토+일+공휴일,09:00,18:00,00:00,00:00,N,,,,,60,180,,방문,,대구광역시 동구 신암남로23길 53,,대구광역시 동구청,신암4동,053-662-3662,http://www.dong.daegu.kr/ch/sa4/,35.88504618,128.629326,2022-04-28
"신암5동행정복지센터 회의실",신암5동행정복지센터,회의실,토+일+공휴일,09:00,18:00,00:00,00:00,N,,,,,50,86,,방문,,대구광역시 동구 아양로37길 92,,대구광역시 동구청,신암5동,053-662-3682,http://www.dong.daegu.kr/ch/sa5/,35.889762,128.633063,2022-04-28
"신천1.2동행정복지센터 회의실",신천1.2동행정복지센터,회의실,토+일+공휴일,09:00,18:00,00:00,00:00,N,,,,,50,90,,방문,,대구광역시 동구 국채보상로159길 41,,대구광역시 동구청,신천1.2동,053-662-3306,http://www.dong.daegu.kr/ch/sc12/,35.869928,128.6147774,2022-04-28
"신천3동행정복지센터 대회의실",신천3동행정복지센터,회의실,토+일+공휴일,09:00,18:00,00:00,00:00,N,,,,,100,198,,방문,,대구광역시 동구 장등로 90,,대구광역시 동구청,신천3동,053-662-3724,http://www.dong.daegu.kr/ch/sc3/,35.875416,128.623713,2022-04-28
"신천3동행정복지센터 탁구장",신천3동행정복지센터,기타,토+일+공휴일,09:00,18:00,00:00,00:00,N,,,,,20,70,,방문,,대구광역시 동구 장등로 90,,대구광역시 동구청,신천3동,053-662-3724,http://www.dong.daegu.kr/ch/sc3/,35.875416,128.623713,2022-04-28
"신천4동행정복지센터 회의실",신천4동행정복지센터,회의실,토+일+공휴일,09:00,18:00,00:00,00:00,N,,,,,80,249,,방문,,대구광역시 동구 동부로30길 61-7,,대구광역시 동구청,신천4동,053-662-3743,http://www.dong.daegu.kr/ch/sc4/,35.871746,128.629309,2022-04-28
"신천도서관 강좌실",신천도서관,기타,월+공휴일,09:00,20:00,09:00,17:00,Y,4,30000,,,50,155,,유선,,대구광역시 동구 동부로 6길 65,,(재)대구광역시 동구문화재단,신천도서관 문헌정보팀,053-980-2633,http://www.donggu-lib.kr/,35.871472,128.617757,2022-04-28
"안심1동행정복지센터 회의실",안심1동행정복지센터,회의실,토+일+공휴일,09:00,18:00,00:00,00:00,N,,,,,15,67,,방문,,대구광역시 동구 율하동로 121,,대구광역시 동구청,안심1동,053-662-3922,http://www.dong.daegu.kr/ch/as1/,35.870395,128.702108,2022-04-28
"안심2동행정복지센터 회의실",안심2동행정복지센터,회의실,토+일+공휴일,09:00,18:00,00:00,00:00,N,,,,,50,50,,방문,,대구광역시 동구 반야월로1길 28,,대구광역시 동구청,안심2동,053-662-3952,http://www.dong.daegu.kr/ch/as2/,35.875431,128.687069,2022-04-28
